profile,phase,graph_family,graph_id,n,m,d_input,d_eff,seed,solver,time_limit,random_trials,greedy_random_mean,greedy_random_std,greedy_random_best,greedy_min_degree,warm_start_size,ip_status,ip_incumbent,ip_upper_bound,ip_gap,ip_runtime_sec,threshold_logd,threshold_log1pd,threshold_2logd,first_moment_threshold,found_beyond_logd,proved_beyond_logd,proved_optimal,solution_valid,error
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed0,100,1000.0,20.0,20.0,0,CBC,300.0,100,14.29,1.3506077943435002,17.0,17.0,17.0,Optimal,20.0,20.0,0.0,12.731324,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed1,100,959.0,20.0,19.18,1,CBC,300.0,100,14.28,1.428992722871674,17.0,17.0,17.0,Optimal,19.0,19.0,0.0,17.945697583,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed2,100,981.0,20.0,19.62,2,CBC,300.0,100,14.32,1.2861342908660096,17.0,18.0,18.0,Optimal,20.0,20.0,0.0,11.765954875000002,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed3,100,1002.0,20.0,20.04,3,CBC,300.0,100,14.37,1.3755072526236285,17.0,18.0,18.0,Optimal,20.0,20.0,0.0,11.803718500000002,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed4,100,951.0,20.0,19.02,4,CBC,300.0,100,14.54,1.3289321299677443,17.0,18.0,18.0,Optimal,21.0,21.0,0.0,13.489278999999996,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed5,100,1004.0,20.0,20.08,5,CBC,300.0,100,14.36,1.359738536958076,17.0,18.0,18.0,Optimal,20.0,20.0,0.0,14.522977541999992,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed6,100,989.0,20.0,19.78,6,CBC,300.0,100,14.86,1.6206994374857624,19.0,20.0,20.0,Optimal,21.0,21.0,0.0,12.199741457999991,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed7,100,1008.0,20.0,20.16,7,CBC,300.0,100,14.26,1.291933012617492,17.0,19.0,19.0,Optimal,20.0,20.0,0.0,16.36926720800001,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed8,100,978.0,20.0,19.56,8,CBC,300.0,100,14.87,1.5152757524822358,18.0,20.0,20.0,Optimal,21.0,21.0,0.0,12.781280332999998,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed9,100,1020.0,20.0,20.4,9,CBC,300.0,100,14.15,1.3361712223190318,18.0,20.0,20.0,Optimal,20.0,20.0,0.0,10.671079082999997,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed10,100,996.0,20.0,19.92,10,CBC,300.0,100,14.27,1.469247041408241,18.0,16.0,18.0,Optimal,19.0,19.0,0.0,16.543728125,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed11,100,956.0,20.0,19.12,11,CBC,300.0,100,14.83,1.3337499349161703,18.0,19.0,19.0,Optimal,20.0,20.0,0.0,14.439047042,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed12,100,978.0,20.0,19.56,12,CBC,300.0,100,14.21,1.5327732837552783,19.0,17.0,19.0,Optimal,20.0,20.0,0.0,17.66445033399998,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed13,100,1018.0,20.0,20.36,13,CBC,300.0,100,13.89,1.5034976057530158,17.0,17.0,17.0,Optimal,19.0,19.0,0.0,17.087605291000017,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed14,100,989.0,20.0,19.78,14,CBC,300.0,100,14.32,1.4486496673060254,18.0,20.0,20.0,Optimal,20.0,20.0,0.0,11.244646667000012,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed15,100,940.0,20.0,18.8,15,CBC,300.0,100,14.85,1.445124160196569,19.0,19.0,19.0,Optimal,20.0,20.0,0.0,15.330126917,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed16,100,1004.0,20.0,20.08,16,CBC,300.0,100,14.23,1.4060116240162053,18.0,18.0,18.0,Optimal,19.0,19.0,0.0,13.709905167000016,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed17,100,1005.0,20.0,20.1,17,CBC,300.0,100,14.29,1.4859272519136992,18.0,18.0,18.0,Optimal,20.0,20.0,0.0,14.826497417000011,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed18,100,977.0,20.0,19.54,18,CBC,300.0,100,14.85,1.2421470496399745,19.0,19.0,19.0,Optimal,20.0,20.0,0.0,15.09497995800001,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n100_seed19,100,1039.0,20.0,20.78,19,CBC,300.0,100,14.29,1.3506077943435002,17.0,18.0,18.0,Optimal,19.0,19.0,0.0,16.443102792000047,14.978661367769956,15.222612188617116,29.95732273553991,23.299594713906767,True,True,True,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed0,200,1961.0,20.0,19.61,0,CBC,300.0,100,30.2,2.1033883198882757,36.0,38.0,38.0,TimeLimit,39.0,47.602,0.06,300.121792375,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n200_seed1,200,1978.0,20.0,19.78,1,CBC,300.0,100,29.61,1.874307953093702,35.0,37.0,37.0,TimeLimit,39.0,48.279,0.06,300.145679416,29.95732273553991,30.445224377234233,59.91464547107982,46.599189427813535,True,False,False,True,
