component,n,m,status,objective,elapsed_seconds,note
0,4158,13422,Optimal,1950,11.636770874999996,
1,14,29,Optimal,7,0.1053842079999896,
2,12,20,Optimal,6,0.07537429200000645,
3,10,10,Optimal,7,0.05963016699999457,
4,9,12,Optimal,5,0.06610966600000268,
5,9,19,Optimal,4,0.07353520899999921,
6,8,7,Optimal,4,0.06335391700000059,
7,8,13,Optimal,4,0.06218187499999317,
8,8,24,Optimal,2,0.10459808299999906,
9,8,12,Optimal,3,0.06990041699999949,
10,8,18,Optimal,2,0.13366424999999538,
11,8,14,Optimal,3,0.09584641600000054,
12,7,12,Optimal,3,0.06907962500000053,
13,7,7,Optimal,4,0.06773950000000184,
14,7,14,Optimal,3,0.09003562499999873,
15,7,8,Optimal,4,0.0945407079999967,
16,7,11,Optimal,4,0.06490362499999947,
17,7,10,Optimal,3,0.06592870800000128,
18,7,9,Optimal,3,0.06220866700000727,
19,7,21,Optimal,1,0.06765958399999761,
20,6,5,Optimal,5,0.0601202499999971,
21,6,9,Optimal,2,0.11137600000000702,
22,6,5,Optimal,4,0.16357524999999384,
23,6,8,Optimal,3,0.07423816600000066,
24,6,7,Optimal,4,0.060944250000005695,
25,6,7,Optimal,3,0.055829375000001846,
26,6,11,Optimal,2,0.062329707999992934,
27,6,6,Optimal,4,0.05982333299999709,
28,6,11,Optimal,2,0.06397533300000191,
29,6,9,Optimal,2,0.06524033300000553,
30,6,15,Optimal,1,0.06838066599999593,
31,6,15,Optimal,1,0.06551145800000313,
32,5,6,Optimal,2,0.05973295799999789,
33,5,5,Optimal,2,0.06007395900000745,
34,5,6,Optimal,2,0.08749604100000852,
35,5,5,Optimal,3,0.061205000000001064,
36,5,10,Optimal,1,0.07167595800000015,
37,5,5,Optimal,3,0.05946870799999715,
38,5,6,Optimal,3,0.06172145899999748,
39,5,5,Optimal,3,0.1102437500000093,
40,5,5,Optimal,3,0.07349475000000893,
41,5,6,Optimal,2,0.06338108399999953,
42,5,7,Optimal,2,0.08350720899998976,
43,5,10,Optimal,1,0.05662075000000755,
44,5,7,Optimal,2,0.05787225000000262,
45,5,10,Optimal,1,0.06019183399999406,
46,5,10,Optimal,1,0.06575537500000905,
47,5,7,Optimal,2,0.059228125000004184,
48,5,10,Optimal,1,0.07149766700000271,
49,4,3,Optimal,3,0.055052166999999486,
50,4,4,Optimal,2,0.08149287499999502,
51,4,3,Optimal,2,0.08696666600000924,
52,4,4,Optimal,2,0.06589833400001055,
53,4,6,Optimal,1,0.06501116699999443,
54,4,3,Optimal,3,0.06277862499999287,
55,4,4,Optimal,2,0.0599753750000076,
56,4,4,Optimal,2,0.05458637499999952,
57,4,4,Optimal,2,0.052445583999997325,
58,4,4,Optimal,2,0.05707654200000434,
59,4,3,Optimal,3,0.06504387500000064,
60,4,4,Optimal,2,0.05395666699999424,
61,4,4,Optimal,2,0.05639933300000166,
62,4,3,Optimal,3,0.05644024999999431,
63,4,6,Optimal,1,0.049717125000000806,
64,4,3,Optimal,3,0.0601469169999973,
65,4,6,Optimal,1,0.05633858299999872,
66,4,4,Optimal,2,0.05663883399999747,
